City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,57.02,45,75,15.01,CA,1714949034
1,hovd,48.0056,91.6419,57.22,17,2,7.92,MN,1714949546
2,linhares,-19.3911,-40.0722,73.65,94,12,3.76,BR,1714949546
3,grytviken,-54.2811,-36.5092,37.18,87,70,9.48,GS,1714949546
4,edinburgh of the seven seas,-37.0676,-12.3116,55.9,63,48,30.94,SH,1714949546
5,beledweyne,4.7358,45.2036,78.82,81,100,11.54,SO,1714949546
6,dudinka,69.4058,86.1778,8.67,88,62,10.0,RU,1714949546
7,afaahiti,-17.75,-149.2833,84.07,84,24,19.55,PF,1714949546
8,puerto natales,-51.7236,-72.4875,29.64,84,16,3.71,CL,1714949547
9,selfoss,63.9331,-20.9971,36.05,59,19,12.68,IS,1714949547
10,port-aux-francais,-49.35,70.2167,41.68,79,77,22.75,TF,1714949547
11,puerto ayora,-0.7393,-90.3518,82.36,95,78,5.01,EC,1714949547
12,palmer,42.1584,-72.3287,49.55,83,100,5.75,US,1714949547
13,altamira,-3.2033,-52.2064,76.51,95,100,1.12,BR,1714949369
14,waitangi,-43.9535,-176.5597,56.82,82,61,4.0,NZ,1714949547
15,udachny,66.4167,112.4,24.44,88,70,5.23,RU,1714949547
16,malango,-2.9627,119.9001,67.32,98,100,2.04,ID,1714949547
17,iskateley,67.6803,53.1512,19.02,88,92,4.0,RU,1714949548
18,kencong,-8.2833,113.3667,72.95,90,35,3.6,ID,1714949548
19,canillo,42.5833,1.6667,45.43,89,100,3.91,AD,1714949548
20,adamstown,-25.066,-130.1015,70.66,67,62,18.81,PN,1714949548
21,aasiaat,68.7098,-52.8699,12.88,90,56,6.29,GL,1714949548
22,arkhangel'sk,64.5401,40.5433,28.13,86,75,2.24,RU,1714949548
23,tonnay-charente,45.95,-0.9,55.36,87,89,8.88,FR,1714949548
24,nova sintra,14.8667,-24.7167,75.02,79,0,6.96,CV,1714949548
25,garbahaarrey,3.3289,42.2209,78.48,82,100,11.81,SO,1714949549
